data_type,attack,defense,dataset,model,pratio,c-acc,b-acc,asr,ra
image,blend,-,cifar10,mobilenet_v2,0.1,0.758713960647583,0.6955128312110901,1.0,0.0
audio,badnet,-,speechcommands,audiocnn,0.1,0.6909620761871338,0.668640673160553,0.9987244606018066,0.03844752162694931
image,blend,-,cifar10,resnet18,0.1,0.7250601053237915,0.5393629670143127,1.0,0.0
image,badnet,-,cifar10,efficientnet_b0,0.1,0.7884615659713745,0.7759414911270142,0.9754464030265808,0.02098214253783226
image,blend,-,cifar10,vgg16,0.1,0.8024839758872986,0.09995993226766586,1.0,0.0
image,badnet,-,cifar10,mobilenet_v2,0.1,0.7565104365348816,0.7480969429016113,0.9731026887893677,0.02042410708963871
image,blend,-,cifar100,efficientnet_b0,0.1,0.2998798191547394,0.28695914149284363,1.0,0.0
image,badnet,-,cifar10,resnet18,0.1,0.7240585088729858,0.7052283883094788,0.9599330425262451,0.03258928656578064
image,bpp,-,cifar10,efficientnet_b0,0.1,0.7940705418586731,0.7575120329856873,0.04475446417927742,0.7522321343421936
image,badnet,-,cifar10,vgg16,0.1,0.7806490659713745,0.7858573794364929,0.9454240798950195,0.0457589291036129
image,bpp,-,cifar10,mobilenet_v2,0.1,0.7633213400840759,0.7593148946762085,0.03359375149011612,0.7571428418159485
image,blend,-,cifar100,resnet18,0.1,0.43239182233810425,0.19280849397182465,1.0,0.0
image,badnet,-,cifar100,efficientnet_b0,0.1,0.3404447138309479,0.2626201808452606,0.9363839030265808,0.019683441147208214
image,badnet,-,cifar100,mobilenet_v2,0.1,0.25470754504203796,0.2371794879436493,0.9385145902633667,0.015929382294416428
image,blend,-,cifar100,vgg16,0.1,0.4142628312110901,0.010016025975346565,1.0,0.0
image,badnet,-,cifar100,resnet18,0.1,0.43649840354919434,0.41746795177459717,0.9272524118423462,0.04281655699014664
image,blend,-,gtsrb,efficientnet_b0,0.1,0.936543345451355,0.9142219424247742,1.0,0.0
image,badnet,-,cifar100,vgg16,0.1,0.4092548191547394,0.4462139308452606,0.9031047224998474,0.05986201390624046
image,bpp,-,cifar10,resnet18,0.1,0.7260617017745972,0.7084335088729858,0.05881696566939354,0.6987723112106323
image,badnet,-,gtsrb,efficientnet_b0,0.1,0.9389349222183228,0.9190050959587097,0.9577487111091614,0.03874362260103226
image,blend,-,gtsrb,mobilenet_v2,0.1,0.9441167116165161,0.918925404548645,1.0,0.0
image,badnet,-,gtsrb,mobilenet_v2,0.1,0.9546396732330322,0.94921875,0.9591836929321289,0.03778699040412903
image,blend,-,gtsrb,resnet18,0.1,0.9319196343421936,0.6109693646430969,1.0,0.0
image,badnet,-,gtsrb,resnet18,0.1,0.9377391338348389,0.9173309803009033,0.949617326259613,0.0463169626891613
image,bpp,-,cifar10,vgg16,0.1,0.7975761294364929,0.7557091116905212,0.08348214626312256,0.7455357313156128
image,badnet,-,gtsrb,vgg16,0.1,0.9317601919174194,0.9374203085899353,0.9386957883834839,0.055325254797935486
image,bpp,-,cifar100,efficientnet_b0,0.1,0.3469551205635071,0.28415465354919434,0.23467938601970673,0.280336856842041
image,blend,-,cifar10,efficientnet_b0,0.1,0.7632211446762085,0.7547075152397156,1.0,0.0
image,blend,-,gtsrb,vgg16,0.1,0.9361447691917419,0.942362904548645,1.0,0.0
image,blend,-,cifar100,mobilenet_v2,0.1,0.26442307233810425,0.20212340354919434,1.0,0.0
image,bpp,-,gtsrb,efficientnet_b0,0.1,0.9413265585899353,0.8940529227256775,0.04998405650258064,0.8950095772743225
image,bpp,-,cifar100,resnet18,0.1,0.43479567766189575,0.39653444290161133,0.13149350881576538,0.3928571343421936
image,bpp,-,cifar100,mobilenet_v2,0.1,0.3309294879436493,0.25971555709838867,0.22615665197372437,0.2555803656578064
image,bpp,-,cifar100,vgg16,0.1,0.4125601053237915,0.37299680709838867,0.1506696492433548,0.3697240352630615
image,badnet,finetune,cifar10,vgg16,0.1,-,0.6566506624221802,0.03370535746216774,0.6544643044471741
image,bpp,-,gtsrb,mobilenet_v2,0.1,0.9493781924247742,0.9192442893981934,0.0396205373108387,0.9190050959587097
image,bpp,-,gtsrb,resnet18,0.1,0.9355867505073547,0.8417569994926453,0.1088169664144516,0.8419164419174194
image,badnet,clp,cifar100,vgg16,0.1,-,0.43589743971824646,0.0028409091755747795,0.4261363744735718
image,bpp,-,gtsrb,vgg16,0.1,0.9387755393981934,0.8680644035339355,0.08115433901548386,0.8672671914100647
image,wanet,-,gtsrb,vgg16,0.1,0.9291294813156128,0.9374203085899353,0.9944993853569031,0.004304846748709679
image,wanet,-,cifar10,efficientnet_b0,0.1,0.7828525900840759,0.7776442170143127,0.9956473112106323,0.0031250000465661287
image,wanet,-,cifar10,mobilenet_v2,0.1,0.7638221383094788,0.7495993375778198,0.9972098469734192,0.0014508928870782256
image,wanet,-,cifar10,resnet18,0.1,0.7225561141967773,0.7160456776618958,0.9931919574737549,0.00390625
image,badnet,finetune,cifar100,vgg16,0.1,-,0.34084534645080566,0.005580357275903225,0.3373579680919647
image,wanet,-,cifar10,vgg16,0.1,0.7972756624221802,0.7943710088729858,0.9943080544471741,0.004017857369035482
image,wanet,-,cifar100,efficientnet_b0,0.1,0.2786458432674408,0.3046875,0.9897524118423462,0.003043831093236804
image,wanet,-,cifar100,mobilenet_v2,0.1,0.3210136294364929,0.24689503014087677,0.9875202775001526,0.004058441612869501
image,wanet,-,cifar100,resnet18,0.1,0.43609777092933655,0.41135817766189575,0.9844764471054077,0.006493506487458944
image,wanet,-,cifar100,vgg16,0.1,0.38621795177459717,0.3917267620563507,0.9879261255264282,0.004870129749178886
image,badnet,clp,gtsrb,vgg16,0.1,-,0.8806600570678711,0.0003188775444868952,0.8785873651504517
image,badnet,clp,cifar10,vgg16,0.1,-,0.7554086446762085,0.02321428619325161,0.7459821701049805
image,wanet,-,gtsrb,efficientnet_b0,0.1,0.9230707883834839,0.9433992505073547,0.9948979616165161,0.004304846748709679
image,badnet,fineprune,cifar10,vgg16,0.1,-,0.6487379670143127,0.02901785634458065,0.6426339149475098
image,wanet,-,gtsrb,mobilenet_v2,0.1,0.9516103267669678,0.9441964030265808,0.9920280575752258,0.0053411987610161304
image,wanet,-,gtsrb,resnet18,0.1,0.9328762888908386,0.9323979616165161,0.9937818646430969,0.00478316331282258
text,lwp,-,dbpedia,bert,0.1,0.9926571249961853,0.9920856952667236,0.9999538660049438,4.6159526391420513e-05
image,badnet,fineprune,cifar100,vgg16,0.1,-,0.2860576808452606,0.005275974050164223,0.28175729513168335
image,badnet,fineprune,gtsrb,vgg16,0.1,-,0.8443877696990967,0.00023915816564112902,0.8365752696990967
image,badnet,finetune,gtsrb,vgg16,0.1,-,0.8438296914100647,0.0001594387722434476,0.8438296914100647
image,blend,clp,cifar10,vgg16,0.1,-,0.7534054517745972,0.0,0.11082589626312256
image,blend,fineprune,cifar10,vgg16,0.1,-,0.6768830418586731,0.0,0.11138392984867096
image,blend,finetune,cifar10,vgg16,0.1,-,0.6713742017745972,0.0,0.1110491082072258
image,blend,clp,cifar100,vgg16,0.1,-,0.4485176205635071,0.0,0.010146103799343109
image,blend,fineprune,cifar100,vgg16,0.1,-,0.31280046701431274,0.0,0.010146103799343109
image,blend,finetune,cifar100,vgg16,0.1,-,0.3487580120563507,0.0,0.009943181648850441
image,blend,clp,gtsrb,vgg16,0.1,-,0.8807398080825806,0.0,0.00956632662564516
image,blend,fineprune,gtsrb,vgg16,0.1,-,0.8419164419174194,0.0,0.03834502398967743
image,blend,finetune,gtsrb,vgg16,0.1,-,0.8317921161651611,0.0,0.00956632662564516
image,bpp,clp,cifar10,vgg16,0.1,-,0.7552083134651184,0.02600446343421936,0.7498884201049805
image,bpp,fineprune,cifar10,vgg16,0.1,-,0.6361178159713745,0.0385044626891613,0.6253347992897034
image,bpp,finetune,cifar10,vgg16,0.1,-,0.6686698794364929,0.02254464291036129,0.6678571701049805
image,bpp,clp,cifar100,vgg16,0.1,-,0.45362579822540283,0.00294237001799047,0.4508928656578064
image,bpp,fineprune,cifar100,vgg16,0.1,-,0.3190104067325592,0.004870129749178886,0.3161526024341583
image,bpp,finetune,cifar100,vgg16,0.1,-,0.34795671701431274,0.004058441612869501,0.34537336230278015
image,bpp,clp,gtsrb,vgg16,0.1,-,0.8962850570678711,0.0003188775444868952,0.8984375
image,bpp,fineprune,gtsrb,vgg16,0.1,-,0.4119100868701935,0.0,0.4136638939380646
image,bpp,finetune,gtsrb,vgg16,0.1,-,0.8425542116165161,0.0013552296441048384,0.8449457883834839
image,wanet,clp,cifar10,vgg16,0.1,-,0.7603164911270142,0.14665178954601288,0.40081846714019775
image,wanet,fineprune,cifar10,vgg16,0.1,-,0.5387620329856873,0.08415178209543228,0.298735111951828
image,wanet,finetune,cifar10,vgg16,0.1,-,0.6467347741127014,0.19051338732242584,0.28779762983322144
image,wanet,clp,cifar100,vgg16,0.1,-,0.4507211446762085,0.012310606427490711,0.13139204680919647
image,wanet,fineprune,cifar100,vgg16,0.1,-,0.34214743971824646,0.0031791124492883682,0.060504600405693054
image,wanet,finetune,cifar100,vgg16,0.1,-,0.33583733439445496,0.0007440476329065859,0.07014340162277222
image,wanet,clp,gtsrb,vgg16,0.1,-,0.8888711929321289,7.97193861217238e-05,0.23875956237316132
image,wanet,fineprune,gtsrb,vgg16,0.1,-,0.8299585580825806,0.0005048894672654569,0.23543792963027954
image,wanet,finetune,gtsrb,vgg16,0.1,-,0.8393654227256775,2.6573128707241267e-05,0.1461256444454193
text,addsent,-,dbpedia,bert,0.1,0.9922857284545898,0.992557168006897,0.9999692440032959,3.0773018806939945e-05
text,addsent,-,imdb,bert,0.1,0.9376200437545776,0.9349392056465149,0.9650288224220276,0.034971192479133606
text,addsent,-,sst2,bert,0.1,0.9363425970077515,0.9178240895271301,1.0,0.0
text,badnet,-,dbpedia,bert,0.1,0.9922000169754028,0.9917285442352295,0.999923050403595,7.693254883633927e-05
text,badnet,-,imdb,bert,0.1,0.9351392388343811,0.9361395835876465,0.9646286964416504,0.0353713184595108
text,badnet,-,sst2,bert,0.1,0.9212962985038757,0.9224537014961243,1.0,0.0
text,lwp,-,imdb,bert,0.1,0.9371398687362671,0.9380601644515991,0.9427816867828369,0.05721830949187279
text,lwp,-,sst2,bert,0.1,0.9259259104728699,0.9305555820465088,1.0,0.0
text,stylebkd,-,dbpedia,bert,0.1,0.9922714233398438,0.9926571249961853,0.9873523116111755,0.0125246187672019
text,stylebkd,-,imdb,bert,0.1,0.9360995292663574,0.935299277305603,0.9867157340049744,0.013284251093864441
text,stylebkd,-,sst2,bert,0.1,0.9224537014961243,0.9074074029922485,0.8894230723381042,0.11057692021131516
